sim_time,speed_m_s
0.000000,0.052654
0.045173,0.495352
0.081119,0.924957
0.114622,1.279817
0.148923,1.626691
0.184382,1.940121
0.215074,2.244491
0.248691,2.568182
0.286685,2.939136
0.321784,0.550678
0.358095,0.268742
0.393323,0.199653
0.429678,0.101243
0.460860,0.025618
0.498259,0.071082
0.533612,0.174164
0.566292,0.281704
0.598457,0.235363
0.635711,0.089110
0.669596,0.034797
0.703018,0.016324
0.734093,0.007692
0.772579,0.015313
0.803488,0.011212
0.844486,0.032855
0.880917,0.004057
0.911490,0.014788
0.945614,0.002849
0.979153,0.014803
1.015620,0.015204
1.047771,0.014056
1.080977,0.010545
1.119175,0.000000
1.153113,0.000000
1.185511,0.000000
1.218262,0.000000
1.252041,0.000000
1.284673,0.000000
1.318724,0.000000
1.353003,0.000000
1.386130,0.000000
1.418300,0.000000
1.452604,0.000000
1.487256,0.000000
1.520560,0.000000
1.552461,0.000000
1.588592,0.000000
1.618105,0.000000
1.650939,0.000000
1.686207,0.000000
1.720323,0.000000
1.755728,0.000000
1.788856,0.000000
1.822193,0.000000
1.852431,0.000000
1.888325,0.000000
1.921535,0.000000
1.954885,0.000000
1.987420,0.000000
2.021759,0.000000
2.056824,0.000000
2.088563,0.000000
2.121242,0.000000
2.156816,0.000000
2.192062,0.000000
2.224693,0.000000
2.258805,0.000000
2.292383,0.000000
2.325363,0.000000
2.359522,0.000000
2.390642,0.000000
2.425102,0.000000
2.459384,0.000000
2.492205,0.000000
2.526845,0.000000
2.560170,0.000000
2.591175,0.000000
2.624589,0.000000
2.658647,0.000000
2.691687,0.000000
2.727219,0.000000
2.757327,0.000000
2.791400,0.002039
2.828797,0.002598
2.862943,0.002833
2.898181,0.002362
2.930388,0.002055
2.965575,0.001267
2.999814,0.000829
3.029241,0.001861
3.065373,0.000920
3.100333,0.000492
3.129284,0.000337
3.164846,0.000275
3.201693,0.000254
3.232939,0.001100
3.261377,0.001668
3.298746,0.000487
3.332029,0.000995
3.364287,0.001416
3.397743,0.000332
3.429461,0.000373
3.460986,0.001496
3.497105,0.000165
3.525569,0.001251
3.564239,0.000392
3.599711,0.000577
3.634561,0.001276
3.664057,0.000899
3.698257,0.000582
3.732210,0.000377
3.765021,0.000510
3.797632,0.000997
3.833256,0.000790
3.864708,0.000130
3.900021,0.000815
3.929811,0.001246
3.963686,0.001056
3.998546,0.000156
4.030330,0.000245
4.067703,0.000510
4.100772,0.000341
4.134945,0.001180
4.166898,0.000743
4.199410,0.000355
4.235160,0.000380
4.266382,0.000994
4.300518,0.000336
4.332188,0.000313
4.367574,0.000397
4.404242,0.000234
4.436764,0.000301
4.467313,0.000350
4.506969,0.002384
4.540410,0.000550
4.574770,0.000547
4.608710,0.000003
4.646383,0.000091
4.676917,0.000253
4.709752,0.000709
4.741125,0.000232
4.776191,0.000972
4.810946,0.000209
4.841485,0.001459
4.878644,0.002412
4.912871,0.000685
4.944126,0.000356
4.977186,0.000194
5.010538,0.001863
5.043190,0.001334
5.077712,0.000006
5.110118,0.000213
5.146157,0.000529
5.180429,0.000882
5.211785,0.000435
5.245851,0.000521
5.278740,0.000189
5.310638,0.000345
5.345460,0.000425
5.379210,0.000491
5.413892,0.000405
5.447964,0.002240
5.483956,0.000244
5.516764,0.000350
5.550805,0.002199
5.585461,0.001389
5.615357,0.000610
5.653914,0.000931
5.686675,0.159807
5.718163,0.314299
5.753084,0.323638
5.786025,0.361628
5.819648,0.361138
5.853522,0.363177
5.889405,0.401211
5.925033,0.396635
5.957347,0.397283
5.992276,0.378501
6.024623,0.382275
6.061457,0.397497
6.098949,0.402510
6.132845,0.446100
6.164989,0.487237
6.201748,0.495875
6.236620,0.504239
6.268318,0.515234
6.300495,0.524122
6.336536,0.547670
6.369564,0.552352
6.404052,0.562911
6.438783,0.572926
6.473096,0.586097
6.508424,0.598099
6.538736,0.616733
6.574387,0.644353
6.610799,0.648512
6.643023,0.677478
6.673844,0.686165
6.709647,0.695816
6.742263,0.711254
6.775966,0.722559
6.810289,0.742734
6.841946,0.754599
6.872842,0.773875
6.908339,0.795131
6.945013,0.801384
6.978830,0.812758
7.010785,0.829689
7.045329,0.841758
7.077506,0.862257
7.109429,0.889306
7.139752,0.904552
7.174682,0.939211
7.209416,0.947138
7.245891,0.961135
7.279940,0.984820
7.311617,1.004370
7.345188,1.015362
7.377476,1.042070
7.410931,1.052118
7.447071,1.064780
7.484458,1.089317
7.518248,1.105223
7.554259,1.118211
7.587537,1.125457
7.622112,1.147139
7.654212,1.150555
7.687904,1.169023
7.723102,1.183651
7.754738,1.191529
7.789454,1.200435
7.822247,1.225713
7.857431,1.225936
7.886739,1.243101
7.924630,1.264055
7.957836,1.268399
7.991415,1.255106
8.023357,1.286509
8.056021,1.296601
8.089387,1.316077
8.125011,1.329605
8.156938,1.329854
8.189590,1.346187
8.223908,1.355466
8.257927,1.361047
8.293441,1.372820
8.328009,1.383016
8.362078,1.399686
8.394648,1.407119
8.429451,1.416493
8.466467,1.408877
8.501681,1.426794
8.535362,1.418549
8.568860,1.424066
8.602169,1.418659
8.635562,1.399617
8.669507,1.415779
8.701098,1.412508
8.732169,1.420070
8.766973,1.413277
8.801292,1.426988
8.834753,1.396450
8.866566,1.416344
8.900335,1.426274
8.935777,1.407358
8.963021,1.412923
8.999186,1.421201
9.033599,1.384888
9.066303,1.363965
9.100883,1.347922
9.133218,1.340467
9.167784,1.329242
9.200283,1.326973
9.234360,1.311679
9.264413,1.313001
9.301964,1.301430
9.332350,1.302099
9.369740,1.301064
9.402798,1.284264
9.435623,1.261427
9.470155,1.244862
9.504260,1.235459
9.536322,1.205564
9.569498,1.189939
9.603715,1.170986
9.636047,1.151533
9.669685,1.134054
9.703001,1.110858
9.739202,1.107740
9.771192,1.081316
9.802925,1.069784
9.838922,1.066088
9.869941,1.055571
9.902733,1.034070
9.937588,1.030962
9.970559,1.023898
10.003302,1.017234
10.039778,1.023636
10.072867,1.030082
10.107961,1.035910
10.141992,1.036429
10.174477,1.033371
10.206214,1.038766
10.238767,1.049169
10.272218,1.059551
10.306841,1.052733
10.343538,1.053724
10.377678,1.061982
10.410901,1.086277
10.447473,1.084223
10.479274,1.085398
10.511211,1.096964
10.546193,1.109341
10.577324,1.120905
10.612824,1.125738
10.645044,1.149089
10.678946,1.158427
10.711722,1.169845
10.747456,1.187078
10.779333,1.187057
10.811439,1.198508
10.842705,1.221466
10.880506,1.201294
10.911632,1.215203
10.945449,1.224562
10.981222,1.233000
11.018374,1.249865
11.050953,1.264961
11.085637,1.267647
11.120135,1.273046
11.153016,1.275456
11.187939,1.296763
11.224623,1.304760
11.255006,1.298026
11.289343,1.311306
11.324364,1.329592
11.355639,1.334289
11.387906,1.346907
11.420271,1.345642
11.455662,1.341736
11.488592,1.350752
11.521656,1.358452
11.553793,1.366698
11.589534,1.374573
11.624579,1.372820
11.657259,1.389706
11.689276,1.402739
11.722772,1.399013
11.756683,1.423159
11.791086,1.435382
11.822854,1.439175
11.858628,1.466474
11.893878,1.502196
11.927404,1.522953
11.959498,1.534148
11.994883,1.566837
12.029729,1.587711
12.062270,1.599072
12.094872,1.627952
12.128896,1.647832
12.162816,1.661851
12.195222,1.681615
12.226371,1.695235
12.261759,1.710570
12.293267,1.721674
12.329659,1.740015
12.362620,1.765737
12.399079,1.773225
12.431519,1.774040
12.463050,1.796810
12.494627,1.813578
12.530296,1.825806
12.564582,1.843284
12.593723,1.849204
12.630072,1.873916
12.663979,1.877803
12.698252,1.899053
12.731282,1.903182
12.768370,1.919364
12.801037,1.931819
12.834365,1.947977
12.867175,1.949440
12.899427,1.966434
12.933907,1.955459
12.966442,1.983657
13.001247,1.984129
13.033559,2.002967
13.070208,2.014277
13.100732,2.017456
13.134466,2.033914
13.169000,2.036054
13.200714,2.058011
13.237917,2.054575
13.274171,2.069508
13.306804,2.080932
13.339533,2.095228
13.370315,2.087013
13.403915,2.107720
13.438500,2.108619
13.470341,2.117587
13.505671,2.121756
13.539078,2.128038
13.572798,2.131548
13.604292,2.149039
13.639211,2.159858
13.673531,2.168411
13.703971,2.164086
13.736225,2.163017
13.772859,2.185502
13.804766,2.167733
13.836438,2.184257
13.872343,2.186480
13.906002,2.197273
13.938823,2.202494
13.969390,2.194622
14.004639,2.207228
14.035210,2.216132
14.071313,2.225406
14.103149,2.223694
14.135157,2.236819
14.167756,2.233632
14.203440,2.243642
14.234236,2.252957
14.269969,2.238827
14.303382,2.245082
14.336964,2.263011
14.368863,2.236021
14.402083,2.258563
14.438726,2.246568
14.470876,2.241869
14.504855,2.270461
14.537790,2.248690
14.572041,2.230353
14.605502,2.246365
14.636842,2.209223
14.669945,2.184221
14.705730,2.168267
14.734827,2.166211
14.769268,2.131370
14.805810,2.110274
14.838241,2.110595
14.870509,2.088772
14.906226,2.009149
14.938008,2.002723
14.973419,1.965211
15.004702,1.893025
15.037735,1.873701
15.070914,1.809156
15.106422,1.762974
15.138595,1.753240
15.174035,1.689695
15.205270,1.640002
15.237811,1.581958
15.274803,1.519016
15.308718,1.465965
15.343847,1.408218
15.375667,1.362518
15.411175,1.317364
15.445191,1.253485
15.479685,1.214974
15.509456,1.192621
15.547169,1.133818
15.578575,1.106402
15.611992,1.066345
15.643018,1.035428
15.677556,1.005307
15.713276,0.977313
15.746874,0.963884
15.778526,0.955118
15.811563,0.952860
15.844950,0.933852
15.880157,0.940431
15.915314,0.932350
15.948104,0.931358
15.983010,0.941277
16.014300,0.948958
16.049387,0.951694
16.081860,0.967910
16.115738,1.001491
16.151047,0.988385
16.184819,1.004073
16.217034,1.013279
16.251085,1.021236
16.282842,1.018585
16.315050,1.023215
16.351939,1.031930
16.383148,1.054062
16.417562,1.056352
16.448125,1.062020
16.483682,1.058846
16.515180,1.084450
16.550375,1.090180
16.581906,1.102726
16.615602,1.117149
16.649504,1.119104
16.681571,1.132758
16.713442,1.146465
16.748511,1.173759
16.779949,1.188205
16.815440,1.195696
16.846374,1.217322
16.882998,1.235332
16.915938,1.243507
16.949173,1.256870
16.983066,1.277055
17.016389,1.282508
17.049972,1.328819
17.082323,1.338672
17.117952,1.362208
17.152661,1.370872
17.181456,1.405552
17.221410,1.432414
17.252118,1.428273
17.287112,1.475497
17.320397,1.472903
17.353010,1.511043
17.389143,1.545915
17.421144,1.554299
17.452179,1.563446
17.484819,1.596655
17.522811,1.613794
17.555285,1.627992
17.586141,1.666276
17.623598,1.665606
17.653226,1.670430
17.688143,1.715246
17.721901,1.716768
17.757685,1.752784
17.788870,1.755219
17.823599,1.793101
17.857726,1.795395
17.894091,1.819959
17.926689,1.827292
17.957455,1.849775
17.992567,1.863953
18.027836,1.882864
18.059481,1.891901
18.093259,1.912879
18.125232,1.929509
18.159539,1.945109
18.190321,1.953647
18.226680,1.989456
18.261536,1.976257
18.294667,1.993860
18.326803,2.000366
18.363792,2.066666
18.399341,2.042025
18.431714,2.051288
18.462758,2.060337
18.497915,2.077075
18.531253,2.086422
18.563677,2.096551
18.599717,2.108608
18.630873,2.113283
18.663361,2.117588
18.695859,2.138966
