sim_time,speed_m_s
0.000000,0.101782
0.030001,0.475366
0.052448,0.615769
0.089361,0.977516
0.132860,1.476009
0.165975,1.804818
0.201411,2.111261
0.234122,2.465359
0.264526,2.768636
0.301059,2.599711
0.330358,0.183160
0.368833,0.059786
0.399057,0.111772
0.436745,0.137236
0.446755,0.137236
0.446755,0.049675
0.528046,0.049675
0.528046,0.049675
0.606384,0.017606
0.642993,0.011021
0.676936,0.009028
0.708110,0.012548
0.743214,0.013581
0.779849,0.013955
0.813396,0.015773
0.848005,0.001417
0.882806,0.011960
0.914447,0.015174
0.948398,0.004326
0.979283,0.002942
1.012958,0.011251
1.047803,0.000654
1.080315,0.004109
1.115874,0.010608
1.147762,0.012517
1.182449,0.000000
1.216333,0.000000
1.252746,0.000000
1.289507,0.000000
1.321872,0.000000
1.352759,0.000000
1.386731,0.000000
1.424509,0.000000
1.455417,0.000000
1.492198,0.000000
1.524863,0.000000
1.560747,0.000000
1.590878,0.000000
1.625858,0.000000
1.659907,0.000000
1.691758,0.002658
1.727262,0.002891
1.759909,0.002042
1.793069,0.001836
1.829100,0.001935
1.862016,0.000999
1.897047,0.000922
1.928131,0.000652
1.960369,0.000209
1.998162,0.000307
2.035229,0.001430
2.069087,0.000195
2.103662,0.000099
2.136325,0.000025
2.169719,0.002225
2.205494,0.000651
2.239585,0.000534
2.272546,0.000165
2.308702,0.000139
2.338448,0.000314
2.375015,0.000007
2.406956,0.002250
2.440336,0.000087
2.474364,0.000298
2.505422,0.000381
2.539415,0.000500
2.573890,0.000112
2.606743,0.000187
2.638842,0.003623
2.674098,0.000099
2.706824,0.000297
2.742091,0.000284
2.772459,0.000356
2.806221,0.000059
2.844856,0.000671
2.877177,0.000086
2.910134,0.000625
2.941593,0.000506
2.975887,0.000343
3.008399,0.000448
3.044555,0.001965
3.076599,0.000820
3.109756,0.000159
3.142275,0.000493
3.175596,0.000246
3.210408,0.000728
3.244422,0.001031
3.278091,0.000749
3.311965,0.000885
3.346321,0.000454
3.381086,0.000370
3.410280,0.000594
3.448443,0.001542
3.481619,0.000643
3.514893,0.000543
3.548031,0.000299
3.580874,0.000368
3.615936,0.000775
3.649511,0.000400
3.680061,0.000040
3.716050,0.000000
3.750751,0.000627
3.782707,0.001392
3.820315,0.000419
3.851668,0.000486
3.887441,0.000033
3.918159,0.000573
3.949875,0.001607
3.988757,0.003096
4.019544,0.001713
4.057415,0.001244
4.090120,0.000296
4.122632,0.000450
4.156965,0.166494
4.189309,0.207970
4.223167,0.374498
4.259678,0.414471
4.292916,0.448258
4.325080,0.500333
4.359419,0.530582
4.392279,0.558429
4.426059,0.578864
4.455528,0.604899
4.490054,0.656699
4.527726,0.713557
4.559681,0.746316
4.596004,0.821938
4.629008,0.883421
4.664291,0.971197
4.696977,1.016030
4.730417,1.055553
4.762044,1.110611
4.797130,1.180982
4.828695,1.238055
4.860511,1.303602
4.894158,1.373618
4.927881,1.476683
4.961098,1.473804
4.993866,1.517897
5.028611,1.574931
5.063136,1.671552
5.095933,1.677941
5.131806,1.767811
5.161733,1.792782
5.197198,1.926729
5.230207,1.899479
5.263986,1.925336
5.298854,2.011635
5.331819,2.033605
5.367599,2.101667
5.399806,2.141225
5.432270,2.201374
5.467938,2.232392
5.498792,2.261287
5.534316,2.316760
5.566878,2.333144
5.600873,2.384305
5.635148,2.417515
5.670236,2.494683
5.704939,2.497884
5.737545,2.552635
5.772303,2.595431
5.807147,2.608237
5.839972,2.679569
5.870821,2.662278
5.905474,2.706013
5.938595,2.729100
5.971965,2.776460
6.005451,2.819561
6.040513,2.882154
6.074171,2.856234
6.105496,2.850757
6.141293,2.863867
6.174871,2.908044
6.210810,2.922342
6.244341,2.958238
6.275122,2.960886
6.306191,2.957017
6.340092,2.969503
6.373086,2.959946
6.411119,2.938481
6.442302,2.924625
6.478990,2.897381
6.511828,2.854514
6.544314,2.828701
6.578965,2.813655
6.612831,2.785064
6.644924,2.756230
6.677299,2.721513
6.710902,2.693064
6.744560,2.665106
6.780387,2.625991
6.811622,2.582119
6.843739,2.559355
6.879166,2.526232
6.913702,2.478135
6.946248,2.439076
6.978936,2.403987
7.012241,2.361303
7.047215,2.338216
7.077995,2.292192
7.112998,2.284113
7.147663,2.258994
7.178816,2.213723
7.211031,2.162342
7.246717,2.155125
7.281338,2.125464
7.314304,2.084714
7.346364,2.083010
7.379505,2.052348
7.412622,2.037465
7.445167,1.985007
7.480610,1.984765
7.512218,1.917321
7.545727,1.899932
7.577923,1.875567
7.608745,1.867347
7.646641,1.849659
7.679933,1.803887
7.710992,1.774285
7.744371,1.778934
7.781111,1.723230
7.815515,1.699314
7.848734,1.665820
7.882704,1.677575
7.915394,1.655322
